,0,1,2,3,4
0,0.36666666666666664,0.3781609195402299,0.34597701149425286,0.4114942528735632,0.35402298850574715
1,0.3724137931034483,0.4367816091954023,0.3563218390804598,0.34942528735632183,0.36666666666666664
2,0.3471264367816092,0.3816091954022989,0.3563218390804598,0.3896551724137931,0.42873563218390803
3,0.3425287356321839,0.37471264367816093,0.3988505747126437,0.4149425287356322,0.4298850574712644
4,0.432183908045977,0.4045977011494253,0.3781609195402299,0.4218390804597701,0.4045977011494253
5,0.41839080459770117,0.4160919540229885,0.4160919540229885,0.3873563218390805,0.4482758620689655
6,0.4218390804597701,0.4126436781609195,0.4459770114942529,0.41724137931034483,0.3896551724137931
7,0.41954022988505746,0.41724137931034483,0.4367816091954023,0.4494252873563218,0.4218390804597701
8,0.4264367816091954,0.4482758620689655,0.4586206896551724,0.45057471264367815,0.4367816091954023
9,0.4206896551724138,0.4482758620689655,0.45632183908045976,0.44482758620689655,0.4413793103448276
10,0.42298850574712643,0.4494252873563218,0.4413793103448276,0.4459770114942529,0.43103448275862066
11,0.4574712643678161,0.435632183908046,0.44482758620689655,0.41839080459770117,0.47701149425287354
12,0.4218390804597701,0.4379310344827586,0.4517241379310345,0.49195402298850577,0.4724137931034483
13,0.44022988505747124,0.4482758620689655,0.45517241379310347,0.4494252873563218,0.4850574712643678
14,0.432183908045977,0.4586206896551724,0.49770114942528737,0.4666666666666667,0.47126436781609193
15,0.45632183908045976,0.47586206896551725,0.4471264367816092,0.44022988505747124,0.4632183908045977
16,0.4735632183908046,0.46436781609195404,0.4954022988505747,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
