,0,1,2,3,4
0,0.2505263157894737,0.2506578947368421,0.2505263157894737,0.2506578947368421,0.25092105263157893
1,0.2507894736842105,0.2507894736842105,0.2506578947368421,0.2506578947368421,0.2506578947368421
2,0.25105263157894736,0.2505263157894737,0.2506578947368421,0.2505263157894737,0.2507894736842105
3,0.2506578947368421,0.2506578947368421,0.24986842105263157,0.2507894736842105,0.24947368421052632
4,0.25026315789473685,0.2501315789473684,0.2505263157894737,0.25026315789473685,0.25
5,0.25026315789473685,0.2493421052631579,0.24907894736842107,0.2493421052631579,0.2506578947368421
6,0.24947368421052632,0.25144736842105264,0.25157894736842107,0.2501315789473684,0.2488157894736842
7,0.2493421052631579,0.24907894736842107,0.2493421052631579,0.24907894736842107,0.2525
8,0.24973684210526315,0.24921052631578947,0.2517105263157895,0.24907894736842107,0.2488157894736842
9,0.24960526315789475,0.2501315789473684,0.2532894736842105,0.24960526315789475,0.2511842105263158
10,0.2513157894736842,0.2503947368421053,0.25026315789473685,0.25092105263157893,0.25105263157894736
11,0.2588157894736842,0.25105263157894736,0.24973684210526315,0.2507894736842105,0.25144736842105264
12,0.2511842105263158,0.2513157894736842,0.26,0.25105263157894736,0.2519736842105263
13,0.2525,0.25105263157894736,0.2505263157894737,0.25552631578947366,0.25157894736842107
14,0.25552631578947366,0.2685526315789474,0.2513157894736842,0.2523684210526316,0.255
15,0.25355263157894736,0.25407894736842107,0.26973684210526316,0.2531578947368421,0.27723684210526317
16,0.2632894736842105,0.2575,0.25473684210526315,0.3117105263157895,0.25960526315789473
17,0.3286842105263158,0.2615789473684211,0.2613157894736842,0.27789473684210525,0.2748684210526316
18,0.35342105263157897,0.37855263157894736,0.2673684210526316,0.28842105263157897,0.2711842105263158
19,0.36986842105263157,0.3414473684210526,0.39907894736842103,0.31065789473684213,0.2951315789473684
20,0.3761842105263158,0.4097368421052632,0.3381578947368421,0.3452631578947368,0.3510526315789474
21,0.3981578947368421,0.3494736842105263,0.4113157894736842,0.3769736842105263,0.3634210526315789
22,0.3563157894736842,0.4201315789473684,0.4357894736842105,0.39210526315789473,0.38473684210526315
23,0.3925,0.39144736842105265,0.37605263157894736,0.4436842105263158,0.39710526315789474
24,0.44894736842105265,0.4027631578947368,0.3982894736842105,0.4444736842105263,0.43144736842105263
25,0.4309210526315789,0.4432894736842105,0.44710526315789473,0.4055263157894737,0.4101315789473684
26,0.41868421052631577,0.43842105263157893,0.44144736842105264,0.43605263157894736,0.4064473684210526
27,0.43723684210526315,0.4160526315789474,0.47526315789473683,0.46171052631578946,0.44671052631578945
28,0.47368421052631576,0.4375,0.4394736842105263,0.4697368421052632,0.4589473684210526
29,0.45460526315789473,0.4685526315789474,0.47907894736842105,0.4775,0.4560526315789474
30,0.4660526315789474,0.4893421052631579,0.4557894736842105,0.4744736842105263,0.4792105263157895
31,0.465,0.48368421052631577,0.4957894736842105,0.4630263157894737,0.4756578947368421
32,0.4905263157894737,0.5035526315789474,0.47342105263157896,0.46578947368421053,0.4968421052631579
33,0.4769736842105263,0.5010526315789474,0.4868421052631579,0.4936842105263158,0.5047368421052632
34,0.4934210526315789,0.5007894736842106,0.4884210526315789,0.4930263157894737,0.5093421052631579
35,0.5101315789473684,0.5038157894736842,0.5131578947368421,0.5014473684210526,0.4957894736842105
36,0.5143421052631579,0.5075,0.5093421052631579,0.5098684210526315,0.49894736842105264
37,0.5025,0.5172368421052631,0.505,0.5206578947368421,0.5189473684210526
38,0.5103947368421052,0.5148684210526315,0.5192105263157895,0.5156578947368421,0.5173684210526316
39,0.5173684210526316,0.5248684210526315,0.5256578947368421,0.5143421052631579,0.5177631578947368
40,0.5136842105263157,0.525921052631579,0.5164473684210527,0.5238157894736842,0.5203947368421052
41,0.5193421052631579,0.5256578947368421,0.5296052631578947,0.5164473684210527,0.5260526315789473
42,0.520921052631579,0.5339473684210526,0.5253947368421052,0.5161842105263158,0.5336842105263158
43,0.5334210526315789,0.5275,0.5338157894736842,0.5281578947368422,0.5285526315789474
44,0.5363157894736842,0.5378947368421053,0.5393421052631578,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
