,0,1,2,3,4,5,6,7,8,9
0,0.4875,0.6292105263157894,0.7256578947368421,0.6453947368421052,0.6575,0.77,0.7061842105263157,0.7623684210526316,0.7322368421052632,0.675
1,0.5971052631578947,0.6810526315789474,0.8296052631578947,0.6863157894736842,0.7789473684210526,0.7764473684210527,0.7682894736842105,0.7405263157894737,0.8367105263157895,0.7801315789473684
2,0.8455263157894737,0.695,0.8365789473684211,0.8447368421052631,0.8548684210526316,0.6623684210526316,0.6746052631578947,0.6567105263157895,0.6692105263157895,0.6730263157894737
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
