,0,1,2,3,4
0,0.755,0.7280263157894736,0.3238157894736842,0.6788157894736843,0.6834210526315789
1,0.7386842105263158,0.7644736842105263,0.5555263157894736,0.4413157894736842,0.575921052631579
2,0.6505263157894737,0.7601315789473684,0.6752631578947368,0.44302631578947366,0.6435526315789474
3,0.5113157894736842,0.4830263157894737,0.7613157894736842,0.8078947368421052,0.7797368421052632
4,0.6960526315789474,0.7232894736842105,0.6032894736842105,0.783157894736842,0.7976315789473685
5,0.7760526315789473,0.6339473684210526,0.805,0.6060526315789474,0.6832894736842106
6,0.7748684210526315,0.7763157894736842,0.6884210526315789,0.7952631578947369,0.7367105263157895
7,0.775,0.7390789473684211,0.7067105263157895,0.8103947368421053,0.7884210526315789
8,0.8268421052631579,0.7718421052631579,0.7751315789473684,0.5922368421052632,0.8118421052631579
9,0.7775,0.7710526315789473,0.6997368421052632,0.8219736842105263,0.7842105263157895
10,0.7719736842105264,0.8281578947368421,0.753421052631579,0.7792105263157895,0.7585526315789474
11,0.6968421052631579,0.8238157894736842,0.8248684210526316,0.7821052631578947,0.7867105263157895
12,0.7897368421052632,0.8180263157894737,0.7092105263157895,0.7452631578947368,0.7975
13,0.8047368421052632,0.8163157894736842,0.7997368421052632,0.7822368421052631,0.8163157894736842
14,0.790921052631579,0.7338157894736842,0.8253947368421053,0.8067105263157894,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
