,0,1,2,3,4
0,0.6038157894736842,0.4913157894736842,0.42039473684210527,0.6825,0.8011842105263158
1,0.6430263157894737,0.6167105263157895,0.4934210526315789,0.47328947368421054,0.6684210526315789
2,0.5077631578947368,0.7930263157894737,0.6593421052631578,0.7839473684210526,0.7377631578947368
3,0.6552631578947369,0.4868421052631579,0.7739473684210526,0.6703947368421053,0.766578947368421
4,0.8023684210526316,0.5486842105263158,0.48657894736842106,0.7196052631578947,0.6703947368421053
5,0.7642105263157895,0.654342105263158,0.7192105263157895,0.5013157894736842,0.7898684210526316
6,0.5813157894736842,0.7573684210526316,0.7719736842105264,0.8281578947368421,0.661578947368421
7,0.5663157894736842,0.7181578947368421,0.8192105263157895,0.7407894736842106,0.7984210526315789
8,0.6321052631578947,0.6164473684210526,0.7836842105263158,0.8105263157894737,0.74
9,0.6347368421052632,0.7182894736842105,0.8130263157894737,0.7739473684210526,0.79
10,0.5827631578947369,0.7871052631578948,0.7127631578947369,0.6427631578947368,0.800921052631579
11,0.8093421052631579,0.671578947368421,0.779342105263158,0.6110526315789474,0.6951315789473684
12,0.6969736842105263,0.6638157894736842,0.8118421052631579,0.7867105263157895,0.7364473684210526
13,0.7531578947368421,0.704078947368421,0.6682894736842105,0.7868421052631579,0.7453947368421052
14,0.7356578947368421,0.7675,0.7927631578947368,0.6947368421052632,0.6873684210526316
15,0.7780263157894737,0.6585526315789474,0.7903947368421053,0.7872368421052631,0.7801315789473684
16,0.6427631578947368,0.7925,0.7773684210526316,0.7897368421052632,0.6864473684210526
17,0.7825,0.7939473684210526,0.7314473684210526,0.7772368421052631,0.746578947368421
18,0.7934210526315789,0.785921052631579,0.8157894736842105,0.7225,0.7898684210526316
19,0.8071052631578948,0.7985526315789474,0.7921052631578948,0.7381578947368421,0.7573684210526316
20,0.7971052631578948,0.7994736842105263,0.7256578947368421,0.7103947368421053,0.7993421052631579
21,0.7814473684210527,0.7988157894736843,0.8056578947368421,0.7889473684210526,0.7323684210526316
22,0.7996052631578947,0.7944736842105263,0.804078947368421,0.7118421052631579,0.7906578947368421
23,0.7460526315789474,0.728421052631579,0.8028947368421052,0.7944736842105263,0.7547368421052632
24,0.7868421052631579,0.7239473684210527,0.7530263157894737,0.7931578947368421,0.7311842105263158
25,0.7210526315789474,0.7771052631578947,0.7884210526315789,0.7315789473684211,0.7981578947368421
26,0.7209210526315789,0.7359210526315789,0.7752631578947369,0.7781578947368422,0.7688157894736842
27,0.7367105263157895,0.7725,0.7651315789473684,0.775,0.7389473684210527
28,0.7638157894736842,0.7786842105263158,0.7192105263157895,0.7746052631578947,0.8018421052631579
29,0.7318421052631578,0.7203947368421053,0.785,0.7792105263157895,0.7875
30,0.761578947368421,0.776578947368421,0.8102631578947368,0.7630263157894737,0.6743421052631579
31,0.7563157894736842,0.7748684210526315,0.7446052631578948,0.7248684210526316,0.7563157894736842
32,0.7673684210526316,0.7755263157894737,0.7982894736842105,0.704078947368421,0.7586842105263157
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
