,0,1,2,3,4
0,0.6,0.8011842105263158,0.6038157894736842,0.6248684210526316,0.42039473684210527
1,0.6567105263157895,0.8069736842105263,0.6327631578947368,0.615,0.4126315789473684
2,0.6356578947368421,0.8294736842105264,0.6531578947368422,0.6505263157894737,0.43907894736842107
3,0.6097368421052631,0.8606578947368421,0.6523684210526316,0.6271052631578947,0.4072368421052632
4,0.6021052631578947,0.8686842105263158,0.6590789473684211,0.6392105263157895,0.41289473684210526
5,0.5747368421052632,0.8468421052631578,0.6544736842105263,0.6135526315789473,0.4218421052631579
6,0.555,0.8623684210526316,0.6478947368421053,0.6269736842105263,0.43526315789473685
7,0.5573684210526316,0.8572368421052632,0.6702631578947369,0.621578947368421,0.42947368421052634
8,0.5655263157894737,0.8656578947368421,0.6619736842105263,0.6110526315789474,0.4313157894736842
9,0.5389473684210526,0.8619736842105263,0.6625,0.6326315789473684,0.4519736842105263
10,0.5546052631578947,0.8559210526315789,0.6644736842105263,0.6319736842105264,0.4432894736842105
11,0.5568421052631579,0.8498684210526316,0.6689473684210526,0.6342105263157894,0.42776315789473685
12,0.5655263157894737,0.8475,0.6607894736842105,0.6476315789473684,0.44
13,0.5618421052631579,0.8593421052631579,0.6639473684210526,0.6481578947368422,0.4353947368421053
14,0.5667105263157894,0.8567105263157895,0.6652631578947369,0.6425,0.4321052631578947
15,0.5678947368421052,0.8494736842105263,0.6652631578947369,0.6275,0.4369736842105263
16,0.5580263157894737,0.861578947368421,0.6627631578947368,0.6513157894736842,0.4423684210526316
17,0.564078947368421,0.8636842105263158,0.6690789473684211,0.6552631578947369,0.44263157894736843
18,0.5703947368421053,0.86,0.6693421052631578,0.6438157894736842,0.44894736842105265
19,0.5726315789473684,0.8497368421052631,0.6673684210526316,0.646578947368421,0.4511842105263158
20,0.5698684210526316,0.8465789473684211,0.6678947368421052,0.646578947368421,0.4482894736842105
21,0.5628947368421052,0.8475,0.6656578947368421,0.6498684210526315,0.4473684210526316
22,0.5660526315789474,0.845,0.6690789473684211,0.6542105263157895,0.4436842105263158
23,0.5711842105263157,0.8477631578947369,0.6661842105263158,0.6464473684210527,0.44552631578947366
24,0.5635526315789474,0.8430263157894737,0.6677631578947368,0.6523684210526316,0.4453947368421053
25,0.5582894736842106,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
