,0,1,2,3,4
0,0.21,0.22933333333333333,0.20133333333333334,0.17333333333333334,0.25333333333333335
1,0.451,0.3566666666666667,0.488,0.3486666666666667,0.49533333333333335
2,0.5175,0.5583333333333333,0.5768333333333333,0.5785,0.5735
3,0.6173333333333333,0.5911666666666666,0.6108333333333333,0.604,0.6185
4,0.6283333333333333,0.6451666666666667,0.6171666666666666,0.6331666666666667,0.6266666666666667
5,0.6405,0.6488333333333334,0.6408333333333334,0.6286666666666667,0.656
6,0.654,0.6545,0.6528333333333334,0.6528333333333334,0.6511666666666667
7,0.6516666666666666,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
