,0,1,2,3,4
0,0.09233333333333334,0.0965,0.09783333333333333,0.089,0.08966666666666667
1,0.0865,0.07966666666666666,0.08416666666666667,0.09366666666666666,0.07916666666666666
2,0.06783333333333333,0.111,0.0785,0.096,0.089
3,0.098,0.094,0.12016666666666667,0.10616666666666667,0.14483333333333334
4,0.1355,0.11116666666666666,0.09883333333333333,0.14616666666666667,0.10766666666666666
5,0.155,0.10683333333333334,0.1115,0.10766666666666666,0.1275
6,0.137,0.16533333333333333,0.128,0.14216666666666666,0.11883333333333333
7,0.13983333333333334,0.11633333333333333,0.14616666666666667,0.121,0.17866666666666667
8,0.1515,0.14683333333333334,0.17116666666666666,0.16166666666666665,0.144
9,0.16383333333333333,0.1395,0.2045,0.15783333333333333,0.2065
10,0.1705,0.177,0.166,0.16616666666666666,0.21666666666666667
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
