,0,1,2,3,4
0,0.48333333333333334,0.43966666666666665,0.12566666666666668,0.26766666666666666,0.5418333333333333
1,0.5061666666666667,0.31933333333333336,0.2831666666666667,0.2585,0.3408333333333333
2,0.31316666666666665,0.5806666666666667,0.39516666666666667,0.339,0.525
3,0.3416666666666667,0.37683333333333335,0.5911666666666666,0.5471666666666667,0.37633333333333335
4,0.4846666666666667,0.512,0.3641666666666667,0.38183333333333336,0.5406666666666666
5,0.4046666666666667,0.46166666666666667,0.551,0.38916666666666666,0.5348333333333334
6,0.5436666666666666,0.6048333333333333,0.5415,0.4013333333333333,0.499
7,0.531,0.5501666666666667,0.4236666666666667,0.5846666666666667,0.6068333333333333
8,0.5383333333333333,0.5748333333333333,0.4275,0.4653333333333333,0.5808333333333333
9,0.5626666666666666,0.4548333333333333,0.5411666666666667,0.5745,0.5988333333333333
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
