,0,1,2,3,4
0,0.2222,0.2076,0.2214,0.2042,0.2196
1,0.2284,0.2134,0.1944,0.2408,0.2414
2,0.2446,0.2488,0.2122,0.2436,0.2258
3,0.225,0.232,0.2608,0.3076,0.306
4,0.2316,0.2734,0.2604,0.3228,0.3162
5,0.3262,0.2928,0.328,0.2788,0.2722
6,0.304,0.304,0.2874,0.337,0.207
7,0.3,0.346,0.321,0.332,0.2956
8,0.3198,0.2612,0.355,0.3368,0.3264
9,0.3146,0.311,0.3152,0.3414,0.3156
10,0.3232,0.3424,0.3506,0.3392,0.269
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
