,0,1,2,3,4
0,0.2126,0.2062,0.2108,0.2046,0.2014
1,0.2122,0.2286,0.2214,0.2118,0.2218
2,0.2104,0.2018,0.219,0.2026,0.1904
3,0.2134,0.2134,0.201,0.209,0.239
4,0.1948,0.2076,0.2144,0.2372,0.2184
5,0.2542,0.2316,0.211,0.2138,0.1984
6,0.21,0.2042,0.1928,0.216,0.2142
7,0.2074,0.2272,0.2266,0.2374,0.202
8,0.2074,0.2278,0.2544,0.232,0.2418
9,0.2104,0.2324,0.208,0.2362,0.2042
10,0.2098,0.2524,0.226,0.22,0.2088
11,0.22,0.2118,0.2312,0.2168,0.2304
12,0.2446,0.214,0.2098,0.2316,0.232
13,0.204,0.2502,0.2222,0.205,0.2504
14,0.2024,0.2772,0.2392,0.257,0.235
15,0.2256,0.2114,0.2088,0.1992,0.2262
16,0.2106,0.2242,0.235,0.2342,0.2294
17,0.2364,0.2234,0.28,0.2038,0.2518
18,0.2388,0.285,0.2484,0.2506,0.22
19,0.2138,0.24,0.2868,0.2272,0.2314
20,0.2368,0.2106,0.2254,0.2754,0.252
21,0.2122,0.2678,0.2314,0.2362,0.2736
22,0.2596,0.2104,0.2898,0.2314,0.2276
23,0.2888,0.2358,0.2506,0.2932,0.2614
24,0.2962,0.2626,0.2376,0.2466,0.2908
25,0.3026,0.2176,0.2292,0.2416,0.2636
26,0.2452,0.2738,0.2976,0.246,0.278
27,0.2698,0.2746,0.3048,0.2212,0.2936
28,0.3018,0.2796,0.2502,0.2472,0.2266
29,0.2604,0.238,0.2238,0.2624,0.267
30,0.2656,0.221,0.2796,0.2342,0.2462
31,0.2652,0.227,0.2346,0.2688,0.302
32,0.3088,0.2206,0.2694,0.2552,0.234
33,0.2636,0.237,0.3032,0.309,0.2234
34,0.2862,0.3046,0.261,0.2842,0.2596
35,0.2644,0.2796,0.242,0.3154,0.2742
36,0.2474,0.3046,0.278,0.2624,0.2874
37,0.2628,0.3112,0.2782,0.2312,0.276
38,0.2754,0.285,0.2722,0.3124,0.2866
39,0.2898,0.23,0.2832,0.2828,0.3186
40,0.2716,0.2588,0.2864,0.2386,0.2866
41,0.3102,0.2714,0.274,0.291,0.231
42,0.2862,0.235,0.3134,0.2946,0.279
43,0.2628,0.3136,0.2616,0.2868,0.299
44,0.2874,0.291,0.3168,0.2874,0.2686
45,0.2926,0.27,0.2452,0.301,0.3168
46,0.2852,0.3014,0.245,0.3178,0.2794
47,0.2916,0.2418,0.2828,0.3224,0.2696
48,0.2782,0.3128,0.28,0.2804,0.3206
49,0.3202,0.3116,0.2674,0.2466,0.2904
50,0.2896,0.3,0.2916,0.293,0.279
51,0.26,0.279,0.2956,0.2882,0.2888
52,0.3152,0.2532,0.3004,0.2638,0.2838
53,0.2494,0.2838,0.3038,0.2792,0.2832
54,0.2788,0.2994,0.2716,0.2662,0.3206
55,0.2884,0.3056,0.288,0.261,0.2628
56,0.2812,0.2546,0.2992,0.3152,0.2674
57,0.2652,0.2946,0.2514,0.296,0.2894
58,0.2976,0.2918,0.2906,0.2908,0.3154
59,0.2832,0.2872,0.2908,0.303,0.312
60,0.3322,0.3008,0.2982,0.281,0.3186
61,0.2846,0.2956,0.2564,0.3196,0.3184
62,0.3098,0.2862,0.2894,0.32,0.3212
63,0.3296,0.3194,0.27,0.3072,0.2872
64,0.2914,0.3044,0.3318,0.2748,0.3152
65,0.2774,0.2976,0.3026,0.2942,0.2602
66,0.315,0.3046,0.3168,0.2612,0.2896
67,0.3146,0.3028,0.2914,0.3122,0.283
68,0.2916,0.2566,0.28,0.325,0.3092
69,0.2686,0.3016,0.2922,0.3146,0.3138
70,0.321,0.31,0.2624,0.323,0.303
71,0.3142,0.3228,0.2786,0.2942,0.3228
72,0.317,0.302,0.2776,0.3188,0.3074
73,0.3032,0.3012,0.2668,0.2856,0.3198
74,0.3148,0.3172,0.2916,0.2882,0.288
75,0.2918,0.3078,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
