,0,1,2,3,4
0,0.326,0.291,0.2318,0.3796,0.367
1,0.33,0.3958,0.3714,0.2422,0.4024
2,0.2472,0.3854,0.361,0.41,0.3786
3,0.3674,0.2564,0.3958,0.3532,0.3994
4,0.4074,0.3422,0.2428,0.4106,0.351
5,0.3946,0.3682,0.3722,0.2462,0.3948
6,0.3664,0.4168,0.364,0.4044,0.421
7,0.3416,0.37,0.395,0.3722,0.4132
8,0.3766,0.4116,0.413,0.4204,0.3804
9,0.4054,0.2418,0.3976,0.3732,0.4222
10,0.3928,0.368,0.3592,0.422,0.4226
11,0.3712,0.3684,0.3714,0.4078,0.2658
12,0.345,0.385,0.3636,0.4152,0.2944
13,0.43,0.3702,0.4056,0.4116,0.264
14,0.4196,0.4102,0.421,0.3838,0.2638
15,0.3852,0.4174,0.4162,0.44,0.3978
16,0.4112,0.378,0.43,0.387,0.3908
17,0.3998,0.3916,0.3864,0.4404,0.2852
18,0.4028,0.4226,0.4284,0.301,0.3928
19,0.4122,0.4084,0.4138,0.4136,0.4022
20,0.4094,0.412,0.4044,0.398,0.4302
21,0.4134,0.4052,0.4114,0.4418,0.4086
22,0.409,0.416,0.4212,0.4154,0.4358
23,0.4096,0.4132,0.4216,0.42,0.307
24,0.4194,0.3256,0.4146,0.415,0.403
25,0.4088,0.412,0.434,0.413,0.433
26,0.416,0.3436,0.4224,0.4164,0.4196
27,0.357,0.4226,0.4218,0.4124,0.4078
28,0.423,0.4214,0.418,0.4164,0.4348
29,0.4172,0.4106,0.4172,0.4188,0.4342
30,0.4344,0.4158,0.4234,0.4362,0.4132
31,0.3662,0.4178,0.4354,0.4176,0.4114
32,0.4248,0.417,0.4236,0.4212,0.4364
33,0.4224,0.435,0.4142,0.4258,0.419
34,0.4334,0.424,0.424,0.4236,0.416
35,0.4144,0.4266,0.4342,0.4146,0.4242
36,0.4354,0.4246,0.4126,0.3778,0.4226
37,0.3836,0.424,0.4338,0.4186,0.4146
38,0.4254,0.4326,0.4134,0.4246,0.4266
39,0.4278,0.42,0.4136,0.4228,0.4178
40,0.3888,0.4348,0.4246,0.42,0.4268
41,0.4162,0.418,0.4118,0.4244,0.42
42,0.4248,0.4192,0.4184,0.4344,0.4116
43,0.4356,0.4248,0.4214,0.4264,0.4276
44,0.4284,0.4128,0.4248,0.4346,0.4208
45,0.4312,0.3966,0.4202,0.4288,0.4254
46,0.412,0.4338,0.4192,0.4238,0.4202
47,0.4282,0.4204,0.4014,0.4212,0.4368
48,0.4126,0.4188,0.4264,0.419,0.427
49,0.4262,0.433,0.437,0.4196,0.4122
50,0.4148,0.428,0.4222,0.4308,0.4058
51,0.436,0.4084,0.4262,0.4192,0.4116
52,0.4254,0.4178,0.4252,0.4356,0.4286
53,0.4198,0.4298,0.433,0.42,0.414
54,0.412,0.426,0.4196,0.4354,0.424
55,0.4124,0.4324,0.429,0.4182,0.438
56,0.4218,0.4196,0.4266,0.425,0.4388
57,0.4378,0.4286,0.419,0.414,0.4118
58,0.4166,0.4294,0.4226,0.4262,0.424
59,0.426,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
