UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Aug10 ?        00:48:38 /sbin/init splash
root         2     0  0 Aug10 ?        00:00:15 [kthreadd]
root         3     2  0 Aug10 ?        00:00:00 [rcu_gp]
root         4     2  0 Aug10 ?        00:00:00 [rcu_par_gp]
root         6     2  0 Aug10 ?        00:00:00 [kworker/0:0H-kb]
root        10     2  0 Aug10 ?        00:00:00 [mm_percpu_wq]
root        11     2  0 Aug10 ?        00:00:57 [ksoftirqd/0]
root        12     2  0 Aug10 ?        00:55:59 [rcu_sched]
root        13     2  0 Aug10 ?        00:00:28 [migration/0]
root        14     2  0 Aug10 ?        00:00:00 [idle_inject/0]
root        15     2  0 Aug10 ?        00:00:00 [cpuhp/0]
root        16     2  0 Aug10 ?        00:00:00 [cpuhp/1]
root        17     2  0 Aug10 ?        00:00:00 [idle_inject/1]
root        18     2  0 Aug10 ?        00:00:27 [migration/1]
root        19     2  0 Aug10 ?        00:00:31 [ksoftirqd/1]
root        21     2  0 Aug10 ?        00:00:00 [kworker/1:0H]
root        22     2  0 Aug10 ?        00:00:00 [cpuhp/2]
root        23     2  0 Aug10 ?        00:00:00 [idle_inject/2]
root        24     2  0 Aug10 ?        00:00:26 [migration/2]
root        25     2  0 Aug10 ?        00:00:28 [ksoftirqd/2]
root        27     2  0 Aug10 ?        00:00:00 [kworker/2:0H-kb]
root        28     2  0 Aug10 ?        00:00:00 [cpuhp/3]
root        29     2  0 Aug10 ?        00:00:00 [idle_inject/3]
root        30     2  0 Aug10 ?        00:00:25 [migration/3]
root        31     2  0 Aug10 ?        00:00:24 [ksoftirqd/3]
root        33     2  0 Aug10 ?        00:00:00 [kworker/3:0H-kb]
root        34     2  0 Aug10 ?        00:00:00 [cpuhp/4]
root        35     2  0 Aug10 ?        00:00:00 [idle_inject/4]
root        36     2  0 Aug10 ?        00:00:25 [migration/4]
root        37     2  0 Aug10 ?        00:00:22 [ksoftirqd/4]
root        39     2  0 Aug10 ?        00:00:00 [kworker/4:0H-kb]
root        40     2  0 Aug10 ?        00:00:00 [cpuhp/5]
root        41     2  0 Aug10 ?        00:00:00 [idle_inject/5]
root        42     2  0 Aug10 ?        00:00:24 [migration/5]
root        43     2  0 Aug10 ?        00:00:21 [ksoftirqd/5]
root        45     2  0 Aug10 ?        00:00:00 [kworker/5:0H-kb]
root        46     2  0 Aug10 ?        00:00:00 [cpuhp/6]
root        47     2  0 Aug10 ?        00:00:00 [idle_inject/6]
root        48     2  0 Aug10 ?        00:00:24 [migration/6]
root        49     2  0 Aug10 ?        00:00:20 [ksoftirqd/6]
root        51     2  0 Aug10 ?        00:00:00 [kworker/6:0H-kb]
root        52     2  0 Aug10 ?        00:00:00 [cpuhp/7]
root        53     2  0 Aug10 ?        00:00:00 [idle_inject/7]
root        54     2  0 Aug10 ?        00:00:24 [migration/7]
root        55     2  0 Aug10 ?        00:00:19 [ksoftirqd/7]
root        57     2  0 Aug10 ?        00:00:00 [kworker/7:0H-kb]
root        58     2  0 Aug10 ?        00:00:00 [cpuhp/8]
root        59     2  0 Aug10 ?        00:00:00 [idle_inject/8]
root        60     2  0 Aug10 ?        00:00:24 [migration/8]
root        61     2  0 Aug10 ?        00:00:20 [ksoftirqd/8]
root        63     2  0 Aug10 ?        00:00:00 [kworker/8:0H-kb]
root        64     2  0 Aug10 ?        00:00:00 [cpuhp/9]
root        65     2  0 Aug10 ?        00:00:00 [idle_inject/9]
root        66     2  0 Aug10 ?        00:00:24 [migration/9]
root        67     2  0 Aug10 ?        00:00:19 [ksoftirqd/9]
root        69     2  0 Aug10 ?        00:00:00 [kworker/9:0H]
root        70     2  0 Aug10 ?        00:00:00 [cpuhp/10]
root        71     2  0 Aug10 ?        00:00:00 [idle_inject/10]
root        72     2  0 Aug10 ?        00:00:23 [migration/10]
root        73     2  0 Aug10 ?        00:00:19 [ksoftirqd/10]
root        75     2  0 Aug10 ?        00:00:00 [kworker/10:0H]
root        76     2  0 Aug10 ?        00:00:00 [cpuhp/11]
root        77     2  0 Aug10 ?        00:00:00 [idle_inject/11]
root        78     2  0 Aug10 ?        00:00:24 [migration/11]
root        79     2  0 Aug10 ?        00:00:19 [ksoftirqd/11]
root        81     2  0 Aug10 ?        00:00:00 [kworker/11:0H-k]
root        82     2  0 Aug10 ?        00:00:00 [cpuhp/12]
root        83     2  0 Aug10 ?        00:00:00 [idle_inject/12]
root        84     2  0 Aug10 ?        00:00:24 [migration/12]
root        85     2  0 Aug10 ?        00:00:18 [ksoftirqd/12]
root        87     2  0 Aug10 ?        00:00:00 [kworker/12:0H-k]
root        88     2  0 Aug10 ?        00:00:00 [cpuhp/13]
root        89     2  0 Aug10 ?        00:00:00 [idle_inject/13]
root        90     2  0 Aug10 ?        00:00:23 [migration/13]
root        91     2  0 Aug10 ?        00:00:19 [ksoftirqd/13]
root        93     2  0 Aug10 ?        00:00:00 [kworker/13:0H]
root        94     2  0 Aug10 ?        00:00:00 [cpuhp/14]
root        95     2  0 Aug10 ?        00:00:00 [idle_inject/14]
root        96     2  0 Aug10 ?        00:00:24 [migration/14]
root        97     2  0 Aug10 ?        00:00:18 [ksoftirqd/14]
root        99     2  0 Aug10 ?        00:00:00 [kworker/14:0H]
root       100     2  0 Aug10 ?        00:00:00 [cpuhp/15]
root       101     2  0 Aug10 ?        00:00:00 [idle_inject/15]
root       102     2  0 Aug10 ?        00:00:24 [migration/15]
root       103     2  0 Aug10 ?        00:00:18 [ksoftirqd/15]
root       105     2  0 Aug10 ?        00:00:00 [kworker/15:0H-k]
root       106     2  0 Aug10 ?        00:00:00 [cpuhp/16]
root       107     2  0 Aug10 ?        00:00:00 [idle_inject/16]
root       108     2  0 Aug10 ?        00:00:31 [migration/16]
root       109     2  0 Aug10 ?        00:00:23 [ksoftirqd/16]
root       111     2  0 Aug10 ?        00:00:00 [kworker/16:0H]
root       113     2  0 Aug10 ?        00:00:00 [cpuhp/17]
root       114     2  0 Aug10 ?        00:00:00 [idle_inject/17]
root       115     2  0 Aug10 ?        00:00:28 [migration/17]
root       116     2  0 Aug10 ?        00:00:23 [ksoftirqd/17]
root       118     2  0 Aug10 ?        00:00:00 [kworker/17:0H-k]
root       119     2  0 Aug10 ?        00:00:00 [cpuhp/18]
root       120     2  0 Aug10 ?        00:00:00 [idle_inject/18]
root       121     2  0 Aug10 ?        00:00:27 [migration/18]
root       122     2  0 Aug10 ?        00:00:21 [ksoftirqd/18]
root       124     2  0 Aug10 ?        00:00:00 [kworker/18:0H-k]
root       125     2  0 Aug10 ?        00:00:00 [cpuhp/19]
root       126     2  0 Aug10 ?        00:00:00 [idle_inject/19]
root       127     2  0 Aug10 ?        00:00:26 [migration/19]
root       128     2  0 Aug10 ?        00:00:20 [ksoftirqd/19]
root       130     2  0 Aug10 ?        00:00:00 [kworker/19:0H-k]
root       131     2  0 Aug10 ?        00:00:00 [cpuhp/20]
root       132     2  0 Aug10 ?        00:00:00 [idle_inject/20]
root       133     2  0 Aug10 ?        00:00:26 [migration/20]
root       134     2  0 Aug10 ?        00:00:20 [ksoftirqd/20]
root       136     2  0 Aug10 ?        00:00:00 [kworker/20:0H]
root       137     2  0 Aug10 ?        00:00:00 [cpuhp/21]
root       138     2  0 Aug10 ?        00:00:00 [idle_inject/21]
root       139     2  0 Aug10 ?        00:00:25 [migration/21]
root       140     2  0 Aug10 ?        00:00:20 [ksoftirqd/21]
root       142     2  0 Aug10 ?        00:00:00 [kworker/21:0H-k]
root       143     2  0 Aug10 ?        00:00:00 [cpuhp/22]
root       144     2  0 Aug10 ?        00:00:00 [idle_inject/22]
root       145     2  0 Aug10 ?        00:00:25 [migration/22]
root       146     2  0 Aug10 ?        00:00:19 [ksoftirqd/22]
root       148     2  0 Aug10 ?        00:00:00 [kworker/22:0H]
root       149     2  0 Aug10 ?        00:00:00 [cpuhp/23]
root       150     2  0 Aug10 ?        00:00:00 [idle_inject/23]
root       151     2  0 Aug10 ?        00:00:26 [migration/23]
